Designatie;d;D;B;C [N];C0 [N];Cu [N];Limiting speed;Reference speed;f0
4200-B-TVH;10;30;14;8300;4750;240;21800;21600;13,1
4201-B-TVH;12;32;14;11100;6100;310;19000;19100;12,3
4202-B-TVH;15;35;14;12400;7400;375;17100;16400;13,1
4302-B-TVH;15;42;17;15600;9500;480;14900;11600;13
4203-B-TVH;17;40;16;15600;9500;480;14900;15100;13
4303-B-TVH;17;47;19;20900;13200;670;12500;9800;13,1
4204-B-TVH;20;47;18;20900;13200;670;12500;13300;13,1
4304-B-TVH;20;52;21;26000;16800;850;11100;9300;13
4205-B-TVH;25;52;18;22900;15700;790;11100;11200;13,8
4305-B-TVH;25;62;24;34500;22900;1160;9400;8500;13
4206-B-TVH;30;62;20;29000;21600;1100;9400;9600;14,2
4306-B-TVH;30;72;27;44000;30000;1530;8000;7500;13
4207-B-TVH;35;72;23;39500;30000;1520;7900;8700;14,1
4307-B-TVH;35;80;31;58000;40500;2060;6900;6900;12,9
4208-B-TVH;40;80;23;42000;34500;1740;7200;7500;14,7
4308-B-TVH;40;90;33;67000;48000;2430;6100;6300;13,2
4209-B-TVH;45;85;23;44500;38000;1930;6700;6900;14,9
4309-B-TVH;45;100;36;75000;60000;3600;5400;5300;13,9
4210-B-TVH;50;90;23;46500;42000;2130;6300;6300;15,2
4310-B-TVH;50;110;40;92000;76000;4450;4800;5000;13,8
4211-B-TVH;55;100;25;43000;42500;2140;5700;5900;15,4
4311-B-TVH;55;120;43;111000;90000;5400;4350;4650;13,8
4212-B-TVH;60;110;28;56000;56000;2850;5000;5400;15
4312-B-TVH;60;130;46;128000;106000;6200;3950;4350;13,8
4213-B-TVH;65;120;31;67000;67000;3350;4650;5400;15,3
4313-B-TVH;65;140;48;137000;114000;6800;3850;4500;13,8
4214-B-TVH;70;125;31;70000;71000;3600;4300;4800;15
4314-B-TVH;70;150;51;156000;131000;7700;3550;4200;13,7
4215-B-TVH;75;130;31;72000;76000;3750;4100;4450;14,9
4216-B-TVH;80;140;33;81000;90000;4350;3800;4200;15,7
4217-B-TVH;85;150;36;94000;106000;4950;3500;4100;15,8
4218-B-TVH;90;160;40;113000;123000;5900;3300;4100;15,5
