Designatie;d;D;B;C[N];C0[N];Cu[N];Limitingspeed;Referencespeed
20204-TVP;20;47;14;20400;19400;1680;13100;0.114
20304-TVP;20;52;15;27000;24600;2300;11800;0.152
20205-K-TVP-C3;25;52;15;24100;24900;2190;11500;0.132
20205-TVP;25;52;15;24100;24900;2190;11500;0.134
20305-TVP;25;62;17;36000;35000;2950;9800;0.243
20206-K-TVP-C3;30;62;16;28000;28500;2850;10800;0.203
20206-TVP;30;62;16;28000;28500;2850;10800;0.207
20306-TVP;30;72;19;48500;48500;4200;8800;0.37
20207-K-TVP-C3;35;72;17;41000;43000;4900;9700;0.296
20207-TVP;35;72;17;41000;43000;4900;9700;0.301
20307-TVP;35;80;21;58000;61000;5400;8000;0.493
20208-K-TVP-C3;40;80;18;49500;53000;5000;8700;0.38
20208-TVP;40;80;18;49500;53000;5000;8700;0.386
20308-TVP;40;90;23;76000;81000;7100;7000;0.671
20209-K-TVP-C3;45;85;19;52000;58000;5900;8400;0.433
20209-TVP;45;85;19;52000;58000;5900;8400;0.441
20309-TVP;45;100;25;87000;94000;8400;6500;0.914
20210-K-TVP-C3;50;90;20;59000;69000;7000;7700;0.489
20210-TVP;50;90;20;59000;69000;7000;7700;0.499
20310-TVP;50;110;27;108000;118000;10300;5800;1.17
20211-K-TVP-C3;55;100;21;74000;85000;8700;7100;0.642
20211-TVP;55;100;21;74000;85000;8700;7100;0.653
20311-K-TVP-C3;55;120;29;120000;138000;12300;5400;1.49
20311-TVP;55;120;29;120000;138000;12300;5400;1.53
20212-K-TVP-C3;60;110;22;85000;100000;10700;6600;0.822
20212-TVP;60;110;22;85000;100000;10700;6600;0.836
20312-K-TVP-C3;60;130;31;147000;171000;15000;4950;1.89
20312-TVP;60;130;31;147000;171000;15000;4950;1.92
20213-K-TVP-C3;65;120;23;94000;117000;12400;6000;1.07
20213-TVP;65;120;23;94000;117000;12400;6000;1.08
20313-K-MB-C3;65;140;33;168000;195000;17700;4700;2.14
20313-MB;65;140;33;168000;195000;17700;4700;2.18
20214-TVP;70;125;24;107000;133000;13900;5700;1.17
20314-MB;70;150;35;184000;215000;19400;4450;3.15
20215-K-TVP-C3;75;130;25;112000;143000;16000;5500;1.25
20215-TVP;75;130;25;112000;143000;16000;5500;1.28
20315-MB;75;160;37;216000;255000;22200;4100;3.76
20216-K-TVP-C3;80;140;26;126000;163000;15400;5200;1.56
20216-TVP;80;140;26;126000;163000;15400;5200;1.58
20316-MB;80;170;39;243000;285000;25000;3950;4.58
20217-K-MB-C3;85;150;28;155000;201000;20200;4750;2.19
20217-MB;85;150;28;155000;201000;20200;4750;2.22
20317-MB;85;180;41;270000;320000;28500;3750;5.25
20218-K-MB-C3;90;160;30;174000;220000;21900;4550;2.68
20218-MB;90;160;30;174000;220000;21900;4550;2.72
20318-K-MB-C3;90;190;43;300000;360000;30500;3500;6.17
20318-MB;90;190;43;300000;360000;30500;3500;6.25
20219-MB;95;170;32;206000;265000;26000;4200;3.19
20319-MB;95;200;45;330000;400000;33500;3400;7.29
20220-K-MB-C3;100;180;34;225000;290000;28000;4000;3.9
20220-MB;100;180;34;225000;290000;28000;4000;3.96
20320-K-MB-C3;100;215;47;365000;440000;37500;3250;8.58
20320-MB;100;215;47;365000;440000;37500;3250;8.69
20221-MB;105;190;36;244000;315000;30000;3850;4.74
20222-K-MB-C3;110;200;38;285000;370000;34000;3600;5.45
20222-MB;110;200;38;285000;370000;34000;3600;5.53
20322-MB;110;240;50;405000;480000;44500;3000;11.6
20224-K-MB-C3;120;215;40;305000;415000;37500;3350;6.51
20224-MB;120;215;40;305000;415000;37500;3350;6.6
20324-MB;120;260;55;490000;630000;51000;2750;15.2
20226-K-MB-C3;130;230;40;330000;450000;42000;3300;7.21
20226-MB;130;230;40;330000;450000;42000;3300;7.31
20326-MB;130;280;58;560000;720000;58000;2600;18.4
20228-K-MB-C3;140;250;42;395000;540000;49500;3050;8.98
20228-MB;140;250;42;395000;540000;49500;3050;9.09
20328-MB;140;300;62;650000;840000;66000;2370;22.5
20230-K-MB-C3;150;270;45;430000;610000;54000;2850;11.6
20230-MB;150;270;45;430000;610000;54000;2850;11.7
20330-MB;150;320;65;720000;950000;74000;2250;26.9
20232-K-MB-C3;160;290;48;500000;720000;63000;2650;14.4
20232-MB;160;290;48;500000;720000;63000;2650;14.5
20234-MB;170;310;52;570000;830000;70000;2460;17.9
20236-MB;180;320;52;590000;850000;73000;2420;18.4
20238-MB;190;340;55;650000;950000;80000;2290;22.5
20240-MB;200;360;58;730000;1080000;90000;2180;26.7
